Article_ID,Headline,Keywords,News_Category,Pub_Date,Section_Name,Snippet,Media_Type,URL
5a6f7ce310f40f00018be554,Is America Growing Less Tolerant on L.G.B.T.Q. Rights?,"['Homosexuality and Bisexuality', 'Transgender and Transsexuals', 'Polls and Public Opinion', 'United States Politics and Government', 'Trump, Donald J']", People & Blogs,1/29/2018 19:58,Unknown,Acceptance was growing. But a new poll shows that the public may be backsliding.,Op-Ed,https://www.nytimes.com/2018/01/29/opinion/america-tolerant-lgbtq-rights.html
5a6f788010f40f00018be542,"Hemp for the Home (Construction, Not Smoking)","['Hemp', 'Cannabis Foods and Products', 'Agriculture and Farming', 'Building (Construction)', 'California', 'Canada', 'Sustainable Living']", Science & Technology,1/29/2018 19:39,Unknown,"Widely used in other countries, a variety of the cannabis plant is providing contractors with more efficient construction materials for houses and other structures.",News,https://www.nytimes.com/2018/01/29/science/hemp-homes-cannabis.html
5a6f5a3110f40f00018be4ea,Indians’ First Roster Cut of 2019: Chief Wahoo,"['Baseball', 'Logos', 'Native Americans', 'Mascots', 'Cleveland Indians', 'Major League Baseball', 'Manfred, Robert D', 'Discrimination']",Sports,1/29/2018 17:30,Baseball,"The team was under pressure from baseball’s commissioner to stop using the logo, which is deemed racist by many.",News,https://www.nytimes.com/2018/01/29/sports/baseball/cleveland-indians-chief-wahoo-logo.html
5a6f554710f40f00018be4e0,3 Women Trying Annapolis Route to Congress,"['United States Politics and Government', 'Elections, House of Representatives', 'Luria, Elaine Goodman', 'McGrath, Amy', 'Sherrill, Mikie', 'United States Defense and Military Forces', 'Democratic Party', 'United States Naval Academy', 'Trump, Donald J', 'Virginia', 'New Jersey', 'Kentucky', 'Women and Girls']", News & Politics,1/29/2018 17:09,Politics,"The women, who were contemporaries at the Naval Academy, are part of a powerful wave of political activism in the era of President Trump.",News,https://www.nytimes.com/2018/01/29/us/politics/women-annapolis-democrats-congress-trump.html
5a6f51f110f40f00018be4d8,James Beard Foundation Names New Chief Executive,"['Beard, James, Foundation', 'Reichenbach, Clare', 'Appointments and Executive Changes', 'Seegal, Frederic M', 'Ungaro, Susan']",Entertainment,1/29/2018 16:55,Unknown,"Clare Reichenbach replaces Susan Ungaro, the organization’s president of 11 years, in this newly titled leadership role.",News,https://www.nytimes.com/2018/01/29/dining/james-beard-foundation-ceo.html
5a6f3e1a10f40f00018be49f,"Now, a Banquet Fit for a Queen","['Medieval Times', 'Restaurants', '#MeToo Movement', ""Time's Up"", 'Women and Girls', 'Dallas (Tex)']",Entertainment,1/29/2018 15:30,Unknown,"Zounds! In a coup for gender equality, only women will now preside over a realm of chicken legs, beer and jousting. But do the commoners care?",News,https://www.nytimes.com/2018/01/29/dining/medieval-times-queen.html
5a6f39b710f40f00018be490,"Mapping Your Daily Jog, Or Route to an Air Base","['Strava Inc', 'Social Media', 'Defense Department', 'Privacy', 'United States Defense and Military Forces', 'Iraq', 'Syria', 'Afghanistan', 'Maps', 'Military Bases and Installations']",Foreign,1/29/2018 15:11,Middle East,"A global map published by the company shows users’ movements and is said to expose data about bases and personnel, including those of U.S. forces in Iraq and Syria.",News,https://www.nytimes.com/2018/01/29/world/middleeast/strava-heat-map.html
5a6f2ae810f40f00018be472,Unknown,[], News & Politics,1/29/2018 14:08,Unknown,"Monday: The end of the Pacific Standard Time art show, a new editor for The Los Angeles Times and what it’s like to count homelessness.",briefing,https://www.nytimes.com/2018/01/29/us/california-today-an-art-show-ends-now-what.html
5a6f1fac10f40f00018be451,"‘Star Trek: Discovery’ Season 1, Episode 13: Another Death, Another Twist, Another Shrug","['Television', 'Star Trek: Discovery (TV Program)']", Travel & Events,1/29/2018 13:20,Television,"In a messy episode of “Star Trek: Discovery,” we have yet another plot twist in the mirror universe and an untimely death.",News,https://www.nytimes.com/2018/01/29/arts/television/star-trek-discovery-season-1-episode-13-recap.html
5a6f0d9710f40f00018be429,Teaching Activities for: ‘The White Rose Makes Its Grammys Debut in Support of #MeToo’,[], Education,1/29/2018 12:03,Unknown,How did the Grammy Awards embrace the #MeToo movement?,News,https://www.nytimes.com/2018/01/29/learning/teaching-activities-for-the-white-rose-makes-its-grammys-debut-in-support-of-metoo.html
